STATE,COUNTY,UnempRate
26,131,11.4     
26,133,8.5     
26,135,11.8     
26,137,8.1     
26,139,4.8     
26,141,12.8     
26,143,11.4     
26,145,7.5     
26,147,9.7     
26,149,5.8     
26,151,8.5     
26,153,11.0     
26,155,7.5     
26,157,8.6     
26,159,8.0     
26,161,4.9     
26,163,9.8     
26,165,8.5     
27,001,6.6     
27,003,4.1     
27,005,4.8     
27,007,5.3     
27,009,5.0     
27,011,4.4     
27,013,3.4     
27,015,4.6     
27,017,5.2     
27,019,3.6     
27,021,7.1     
27,023,4.5     
27,025,4.7     
27,027,3.4     
27,029,10.4     
27,031,5.6     
27,033,5.2     
27,035,5.8     
27,037,3.8     
27,039,4.2     
27,041,3.7     
27,043,5.2     
27,045,4.4     
27,047,4.3     
27,049,3.9     
27,051,5.0     
27,053,3.8     
27,055,4.4     
27,057,6.3     
27,059,5.0     
27,061,6.6     
27,063,4.2     
27,065,7.4     
27,067,4.2     
27,069,4.9     
27,071,8.4     
27,073,4.8     
27,075,4.6     
27,077,4.7     
27,079,5.4     
27,081,4.3     
27,083,3.6     
27,085,4.6     
27,087,5.6     
27,089,6.7     
27,091,4.7     
27,093,4.6     
27,095,6.7     
27,097,6.2     
27,099,3.8     
27,101,4.9     
27,103,3.0     
27,105,3.4     
27,107,5.0     
27,109,3.4     
27,111,4.5     
27,113,5.1     
27,115,6.1     
27,117,3.8     
27,119,4.6     
27,121,3.6     
27,123,4.0     
27,125,5.8     
27,127,4.4     
27,129,5.5     
27,131,4.1     
27,133,2.5     
27,135,3.7     
27,137,5.1     
27,139,3.6     
27,141,4.5     
27,143,4.6     
27,145,4.1     
27,147,3.8     
27,149,3.2     
27,151,4.8     
27,153,4.6     
27,155,4.6     
27,157,4.0     
27,159,6.2     
27,161,4.8     
27,163,3.6     
27,165,4.9     
27,167,3.4     
27,169,3.7     
27,171,4.2     
27,173,4.1     
28,001,8.4     
28,003,6.7     
28,005,8.1     
28,007,8.8     
28,009,9.3     
28,011,9.6     
28,013,7.5     
28,015,9.4     
28,017,9.8     
28,019,7.9     
28,021,14.7     
28,023,9.0     
28,025,13.3     
28,027,11.8     
28,029,8.9     
28,031,6.6     
28,033,5.4     
28,035,7.4     
28,037,8.4     
28,039,8.3     
28,041,8.9     
28,043,7.2     
28,045,7.3     
28,047,6.8     
28,049,7.3     
28,051,15.0     
28,053,16.0     
28,055,17.3     
28,057,7.2     
28,059,8.0     
28,061,8.5     
28,063,16.0     
28,065,10.1     
28,067,6.2     
28,069,12.8     
28,071,6.4     
28,073,5.1     
28,075,7.6     
28,077,8.5     
28,079,7.1     
28,081,7.3     
28,083,12.6     
28,085,6.7     
28,087,8.8     
28,089,5.3     
28,091,8.3     
28,093,8.7     
28,095,10.1     
28,097,9.3     
28,099,6.8     
28,101,6.7     
28,103,12.4     
28,105,7.2     
28,107,10.6     
28,109,6.7     
28,111,9.1     
28,113,8.3     
28,115,6.8     
28,117,7.5     
28,119,13.0     
28,121,4.7     
28,123,5.5     
28,125,11.1     
28,127,6.4     
28,129,5.9     
28,131,8.6     
28,133,12.6     
28,135,9.2     
28,137,8.5     
28,139,8.3     
28,141,7.7     
28,143,11.8     
28,145,6.2     
28,147,9.5     
28,149,7.7     
28,151,12.6     
28,153,8.9     
28,155,8.7     
28,157,11.4     
28,159,10.1     
28,161,9.3     
28,163,10.0     
29,001,6.5     
29,003,5.2     
29,005,5.4     
29,007,5.6     
29,009,6.2     
29,011,6.3     
29,013,7.1     
29,015,7.8     
29,017,6.8     
29,019,4.2     
29,021,5.7     
29,023,7.1     
29,025,5.5     
29,027,5.6     
29,029,8.2     
29,031,5.5     
29,033,7.2     
29,035,8.9     
29,037,5.7     
29,039,6.4     
29,041,5.8     
29,043,4.9     
29,045,6.9     
29,047,5.4     
29,049,5.9     
29,051,5.0     
29,053,6.0     
29,055,8.0     
29,057,6.0     
29,059,7.6     
29,061,5.8     
29,063,5.4     
29,065,6.8     
29,067,7.7     
29,069,9.0     
29,071,6.5     
29,073,5.3     
29,075,5.7     
29,077,4.9     
29,079,5.3     
29,081,6.6     
29,083,6.5     
29,085,8.4     
29,087,4.9     
29,089,5.4     
29,091,7.2     
29,093,9.9     
29,095,7.1     
29,097,5.3     
29,099,6.2     
29,101,6.5     
29,103,4.6     
29,105,8.1     
29,107,6.0     
29,109,5.9     
29,111,5.2     
29,113,6.5     
29,115,8.2     
29,117,5.1     
29,119,5.8     
29,121,6.2     
29,123,6.9     
